Name,Category,Calories,Protein,Fat,Carbs,Fiber,Sugar,AddedSugar,WholeGrains,SaturatedFat,MonounsaturatedFat,PolyunsaturatedFat,Cholesterol,VitaminD,VitaminB12,Iron,Zinc,Calcium,Omega3,Omega6,IsVegan
"Öl starköl el. exportöl vol. % 5,4",Dryck,42,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Vin rött vol. % 14,Dryck,79,0.0,0.0,1.0,0.0,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,7,0.0,0.0,True
Vin vitt vol. % 12,Dryck,70,0.0,0.0,1.0,0.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,7,0.0,0.0,True
Vin vitt el. rhenvin vol. % 10,Dryck,71,0.1,0.0,3.8,0.0,3.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,44,0.0,0.0,True
Glögg vin vol. % 10,Dryck,124,0.0,0.0,17.0,0.0,17.0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.1,7,0.0,0.0,True
Starkvin vol. % 18 typ Madeira,Dryck,129,0.0,0.0,7.9,0.0,7.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,8,0.0,0.0,True
Starkvin vitt rött vol. % 20 typ Portvin,Dryck,150,0.0,0.0,9.5,0.0,9.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,8,0.0,0.0,True
Starkvin halvtorr vol. % 17 typ Sherry,Dryck,125,0.0,0.0,3.4,0.0,3.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,8,0.0,0.0,True
Glögg starkvin vol. % 16,Dryck,179,0.0,0.0,22.3,0.0,22.3,22,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,8,0.0,0.0,True
Brännvin renat el. vodka vol. % 40,Dryck,222,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Likör söt vol. % 24,Dryck,266,0.0,0.0,33.0,0.0,33.0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Likör Kaptenlöjtnant vol. % 38,Dryck,321,0.0,0.0,27.0,0.0,27.0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Konjak el. brandy vol. % 40,Dryck,225,0.0,0.0,0.8,0.0,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Punsch vol. % 26,Dryck,244,0.0,0.0,26.0,0.0,26.0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Rom vol. % 40,Dryck,223,0.0,0.0,0.3,0.0,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Brännvin kryddat vol. % 40 ,Dryck,226,0.0,0.0,1.1,0.0,1.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Gin vol. % 40,Dryck,222,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Whisky vol. % 40,Dryck,222,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
